Address,Parcel,Status,Zillow,List Price (Latest),Lot Size,Desirability,Frontage Type,Square Footage,Price/SqFt,Neighborhood,Bedrooms,Bedrooms Up,Bathrooms,Offices,Floors,HOA fees (mo),Year Built,Storage,Yard Size,Garage Spaces,Formal Dining,Finished Basement,Previous Listing,Photo URL
1 NW Briar Point Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
2 NW Briar Point Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
3 NW Briar Point Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
5 NW Briar Point Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
6 NW Briar Point Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
7 NW Briar Point Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
8 NW Briar Point Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
9 NW Briar Point Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
100 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
101 Pointe Ln,,Off-market,,,,,,,,,,,,,,,,,,,,,,
102 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
103 Pointe Ln,,Off-market,,,,,,,,,,,,,,,,,,,,,,
104 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
105 Pointe Ln,,Off-market,,,,,,,,,,,,,,,,,,,,,,
106 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
107 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
108 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
109 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
110 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
110 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
111 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
112 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
113 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
114 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
114 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
115 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
116 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
117 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
118 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
119 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
120 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
121 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
122 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
123 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
125 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
126 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
127 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
128 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
129 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
130 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
133 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
135 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
137 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
139 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
141 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
